Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
Friends of Oklahoma Coal PAC,Coal Mining,,,
Friends of Western Kentucky Coal,Coal Mining,,,
G & S Coal Co,Coal Mining,,,
G&S Coal Co,Coal Mining,,,
Gabriel E Nassar Coal Co,Coal Mining,,,
Gas & Coal PAC,Coal Mining,,,
Gatliff Coal,Coal Mining,,,
General Coal Supply,Coal Mining,,,
Georges Collier Inc,Coal Mining,,,
Giberton Coal,Coal Mining,,,
Gibson County Coal,Coal Mining,,,
Gibson County Coal Alliance,Coal Mining,,,
Gibson County Coal LLC,Coal Mining,,,
Gilverton Coal Co,Coal Mining,,,
Ginther Coal,Coal Mining,,,
Ginther Coal Co,Coal Mining,,,
Girard Coal,Coal Mining,,,
Golden Oak Mining,Coal Mining,,,
Golden State Gateway Coal,Coal Mining,,,
Goldent State Gateway Coal,Coal Mining,,,
Graham & Graham,Coal Mining,,,
Great Northern Properties,Coal Mining,,,
Green River Colleries,Coal Mining,,,
Greenbrier Smokeless Coal Mi,Coal Mining,,,
Greenfield Coal Co,Coal Mining,,,
Greenfields Coal,Coal Mining,,,
Greenfields Coal Co,Coal Mining,,,
Griffith Coal Co,Coal Mining,,,
Gulf of Ak Coastal Communities Coal,Coal Mining,,,
H&D Coal Co,Coal Mining,,,
Haley Brothers Coal,Coal Mining,,,
Hampden Coal,Coal Mining,,,
Hampden Coal Co,Coal Mining,,,
Hanner Machine Co,Coal Mining,,,
Harlan Cumberland Coal Co,Coal Mining,,,
Harrison-Wyatt LLC,Coal Mining,,,
Hawk Eye Coal Co,Coal Mining,,,
"Hawkins, Henderson",Coal Mining,,,
Hawley Coal,Coal Mining,,,
Hawley Coal Corp Us,Coal Mining,,,
Haydon Coal & Oil Co,Coal Mining,,,
Headwaters,Coal Mining,,,
Headwaters Inc,Coal Mining,,,
Hendricks Coal LLC,Coal Mining,,,
Hepburnia Coal,Coal Mining,,,
Heringer Energy Resources,Coal Mining,,,
Herrin Ice & Coal Co,Coal Mining,,,
High Valley Coal Co,Coal Mining,,,
Hillsboro Energy,Coal Mining,,,
Hokie Mining Co,Coal Mining,,,
Homer City Coal Processing,Coal Mining,,,
Hood Coal,Coal Mining,,,
Hopkins County Coal,Coal Mining,,,
Horizon Natural Resources,Coal Mining,,,
Hugh Duffy Coal,Coal Mining,,,
Humphrey Coal,Coal Mining,,,
ICG Coal,Coal Mining,,,
ICG Hazard LLC,Coal Mining,,,
Igcc Coalition,Coal Mining,,,
Ii Coal Asc,Coal Mining,,,
Ikerd & Bandy Coal Co,Coal Mining,,,
Ikerd Coal,Coal Mining,,,
Ikerd Coal Co,Coal Mining,,,
IL Coal Assn,Coal Mining,,,
IL Coal Association/Cymax PAC,Coal Mining,,,
Illinois Coal Assn,Coal Mining,,,
Illinois Coal Association,Coal Mining,,,
Illinois Coal Association / Cmte On Affirmative Leadership,Coal Mining,,,
Illinois Coal Sales,Coal Mining,,,
Imperial Coal Sales,Coal Mining,,,
Imperial Colliery Coal,Coal Mining,,,
IN Coal Council,Coal Mining,,,
IN Coal PAC,Coal Mining,,,
IN PAC,Coal Mining,,,
Ind Coal Council-Ind Coal PAC,Coal Mining,,,
Independent Oil & Coal Co,Coal Mining,,,
Indiana Coal Council,Coal Mining,,,
International Anti-Counterfeiting Coal,Coal Mining,,,
International Coal Group,Coal Mining,,,
International Industries,Coal Mining,,,
International Industries Inc,Coal Mining,,,
Intl Coal Group,Coal Mining,,,
Intntl Coal Grp Vindex Energy,Coal Mining,,,
Ittston Coal Co,Coal Mining,,,
J & J Energy,Coal Mining,,,
J&R Coal,Coal Mining,,,
Jad Coal Co,Coal Mining,,,
Jader Coal Co LLC,Coal Mining,,,
James Brothers Coal,Coal Mining,,,
James River Coal,Coal Mining,,,
James River Coal Co,Coal Mining,,,
James River Coal Comp,Coal Mining,,,
James River Coal Kentucky PAC,Coal Mining,,,
James River Coal of Sales,Coal Mining,,,
Jas River Coal,Coal Mining,,,
Jasper Reserves LLC,Coal Mining,,,
Jean Coal Co,Coal Mining,,,
Jen PAC,Coal Mining,,,
Jenkins & Mccall Coal Co,Coal Mining,,,
Jenkins Coal & Land Co,Coal Mining,,,
Jewell Coal & Coke Co,Coal Mining,,,
Jewell Smokeless Coal Corp,Coal Mining,,,
Jim Walter Resources,Coal Mining,,,
Jmp Coal Holdings,Coal Mining,,,
Joe Peles Coal Co,Coal Mining,,,
Joe T Bennett Coal Operator,Coal Mining,,,
John Duckworth Coal Co,Coal Mining,,,
Johnson County Affordable Housing Coal,Coal Mining,,,
Johnson-Floyd Coal Co,Coal Mining,,,
Joseph W Craft Iii Revocable Trust,Coal Mining,,,
Joseph W Craft Revocable Trust,Coal Mining,,,
Jr Acquisition,Coal Mining,,,
JW Resources,Coal Mining,,,
K&J Coal,Coal Mining,,,
Kanawha Eagle Coal,Coal Mining,,,
Kara Coal Corp & Lo-Ming,Coal Mining,,,
Kaylaron Coal,Coal Mining,,,
Kaylaron Coal Co,Coal Mining,,,
Keen Human Resource Services,Coal Mining,,,
Ken American Coal Mines,Coal Mining,,,
Ken American Resources,Coal Mining,,,
Kenamerican Coal,Coal Mining,,,
Kenamerican Resources,Coal Mining,,,
Kennecott Coal,Coal Mining,,,
Kennecott Minerals Co,Coal Mining,,,
Kennecott Utah Copper,Coal Mining,,,
Kenton Coal,Coal Mining,,,
Kentucky Coal,Coal Mining,,,
Kentucky Coal Assn,Coal Mining,,,
Kentucky Coal Association,Coal Mining,,,
Kentucky Coal Council,Coal Mining,,,
Kentucky Coal County Coalition,Coal Mining,,,
Kentucky Coal Sales LLC,Coal Mining,,,
Kentucky Cumberland Coal,Coal Mining,,,
Kentucky Cumberland Coal Co,Coal Mining,,,
